,Date,Mid,Volume
4410,2000-01-03,1458.1799999999998,931800000.0
4415,2000-01-04,1426.32505,1009000000.0
4416,2000-01-05,1395.47505,1085500000.0
4413,2000-01-06,1402.0,1092300000.0
3186,2000-01-07,1421.1,1225200000.0
68,2000-01-10,1452.915,1064800000.0
1047,2000-01-11,1446.54,1014000000.0
70,2000-01-12,1434.84,974600000.0
472,2000-01-13,1443.225,1030400000.0
484,2000-01-14,1461.34005,1085900000.0
502,2000-01-18,1458.225,1056700000.0
471,2000-01-19,1455.03505,1087800000.0
3919,2000-01-20,1452.125,1100700000.0
3774,2000-01-21,1446.39005,1209800000.0
3930,2000-01-24,1424.755,1115800000.0
3932,2000-01-25,1401.375,1073700000.0
3936,2000-01-26,1406.4450000000002,1117300000.0
3137,2000-01-27,1394.925,1129500000.0
3771,2000-01-28,1377.38005,1095800000.0
1296,2000-01-31,1372.31,993800000.0
3632,2000-02-01,1398.6399999999999,981000000.0
443,2000-02-02,1412.05,1038600000.0
3482,2000-02-03,1412.15,1146500000.0
441,2000-02-04,1428.27,1045100000.0
2589,2000-02-07,1420.24,918100000.0
453,2000-02-08,1433.0349999999999,1047700000.0
4288,2000-02-09,1428.1,1050500000.0
87,2000-02-10,1414.26505,1058800000.0
4401,2000-02-11,1397.8600000000001,1025700000.0
90,2000-02-14,1387.7300500000001,927300000.0
4169,2000-02-15,1391.9850000000001,1092100000.0
92,2000-02-16,1395.065,1018800000.0
93,2000-02-17,1389.97495,1034800000.0
94,2000-02-18,1366.9549499999998,1042300000.0
1790,2000-02-22,1344.995,980000000.0
1788,2000-02-23,1356.27495,993700000.0
1795,2000-02-24,1347.3400000000001,1215000000.0
1793,2000-02-25,1345.645,1065200000.0
1074,2000-02-28,1342.9449,1026500000.0
1073,2000-02-29,1358.8400000000001,1204300000.0
3021,2000-03-01,1374.94,1274100000.0
2422,2000-03-02,1378.45505,1198600000.0
3023,2000-03-03,1396.3200000000002,1150300000.0
3019,2000-03-06,1397.245,1029000000.0
3020,2000-03-07,1374.6,1314100000.0
3016,2000-03-08,1360.205,1203000000.0
3017,2000-03-09,1379.84995,1123000000.0
3344,2000-03-10,1402.76495,1138800000.0
1794,2000-03-13,1381.615,1016100000.0
3348,2000-03-14,1377.15,1094000000.0
3347,2000-03-15,1377.49,1302800000.0
3346,2000-03-16,1425.31,1482300000.0
3345,2000-03-17,1465.32495,1295100000.0
1529,2000-03-20,1459.395,920800000.0
3660,2000-03-21,1469.9900499999999,1065900000.0
3300,2000-03-22,1496.205,1075000000.0
3658,2000-03-23,1512.4450000000002,1078300000.0
422,2000-03-24,1534.85,1052200000.0
3290,2000-03-27,1526.545,901000000.0
4570,2000-03-28,1517.225,959100000.0
3330,2000-03-29,1509.45,1061900000.0
4008,2000-03-30,1496.005,1193400000.0
4007,2000-03-31,1502.09505,1227400000.0
411,2000-04-03,1497.0749500000002,1021700000.0
2455,2000-04-04,1471.43,1515460000.0
2454,2000-04-05,1492.3,1110300000.0
432,2000-04-06,1499.565,1008000000.0
430,2000-04-07,1510.0100499999999,891600000.0
2105,2000-04-10,1515.2699499999999,853700000.0
2106,2000-04-11,1499.79,971400000.0
656,2000-04-12,1487.615,1175900000.0
2104,2000-04-13,1458.4299999999998,1032000000.0
2108,2000-04-14,1389.955,1279700000.0
2107,2000-04-17,1374.0149999999999,1204700000.0
2110,2000-04-18,1419.71005,1109400000.0
